"ID";"ParkingName";"global_id";"ParkingZoneNumber";"AdmArea";"District";"Address";"WorkingHours";"Price";"CarCapacity";"Longitude_WGS84";"Latitude_WGS84";"Coordinates";"geoData";
"3211157";"Парковка №3211 (57)";"281949928";"3211";"Западный административный округ";"район Дорогомилово";"Кутузовский Проспект, Дом 26, Корпус 1";"круглосуточно";"60.0";"9";"37.5406098187938";"55.7429467139772";"55.743166,37.5402912|55.7427292,37.5409258";"{type=MultiLineString, coordinates=[[[37.54029119986338, 55.74316599977837], [37.54092580032279, 55.742729200006636]]], center=[[37.5406085000931, 55.7429475998925]]}";
"3211158";"Парковка №3211 (58)";"281949929";"3211";"Западный административный округ";"район Дорогомилово";"Кутузовский Проспект, Дом 30";"круглосуточно";"60.0";"10";"37.5375929022825";"55.7430223539057";"55.7432797,37.5373122|55.7427667,37.5378717";"{type=MultiLineString, coordinates=[[[37.537312200429966, 55.74327969986713], [37.537871699934996, 55.74276670000665]]], center=[[37.5375919501825, 55.7430231999368]]}";
"3211159";"Парковка №3211 (59)";"281949930";"3211";"Западный административный округ";"район Дорогомилово";"Кутузовский Проспект, Дом 30";"круглосуточно";"60.0";"10";"37.5384792360219";"55.742248339902";"55.7424692,37.5382217|55.7420292,37.5387347";"{type=MultiLineString, coordinates=[[[37.53822169973938, 55.74246920006056], [37.53873469975036, 55.74202920013403]]], center=[[37.5384781997449, 55.7422492000973]]}";
"3202121";"Парковка №3202 (21)";"281949931";"3202";"Центральный административный округ";"район Арбат";"Смоленская Набережная, Дом 5/13";"круглосуточно";"60.0";"3";"37.5765485756957";"55.7499311432118";"55.7498934,37.5763914|55.7499676,37.5767001";"{type=MultiLineString, coordinates=[[[37.57639140002923, 55.74989340009945], [37.576700099788425, 55.74996760012152]]], center=[[37.5765457499088, 55.7499305001105]]}";
"3202122";"Парковка №3202 (22)";"281949932";"3202";"Центральный административный округ";"район Арбат";"Малый Новопесковский Переулок, Дом 8";"круглосуточно";"60.0";"3";"37.5775487273068";"55.7501428969892";"55.7501139,37.5773807|55.7501709,37.5777107";"{type=MultiLineString, coordinates=[[[37.5773807002786, 55.75011390009024], [37.57771069999147, 55.750170900067424]]], center=[[37.577545700135, 55.7501424000788]]}";
"3202123";"Парковка №3202 (23)";"281949933";"3202";"Центральный административный округ";"район Арбат";"Проточный Переулок, Дом 11";"круглосуточно";"60.0";"17";"37.5785601328012";"55.7503011340194";"55.7502512,37.578176|55.7502815,37.5783751|55.7503707,37.5791293";"{type=MultiLineString, coordinates=[[[37.57817600035921, 55.750251199806144], [37.57837510026383, 55.75028149979623], [37.57912929972524, 55.750370699893935]]], center=[[37.5786526500422, 55.75031094985]]}";
"3202124";"Парковка №3202 (24)";"281949934";"3202";"Центральный административный округ";"район Арбат";"Проточный Переулок, Дом 8/2, Строение 1";"круглосуточно";"60.0";"4";"37.5800564116063";"55.7504794999672";"55.7504899,37.5798393|55.7504694,37.580267";"{type=MultiLineString, coordinates=[[[37.579839300278024, 55.75048989981267], [37.58026699986288, 55.75046939995821]]], center=[[37.5800531500704, 55.7504796498854]]}";
"3202125";"Парковка №3202 (25)";"281949935";"3202";"Центральный административный округ";"район Арбат";"Новинский Бульвар, Дом 1/2";"круглосуточно";"60.0";"2";"37.5825285367319";"55.7503877321752";"55.7503951,37.582449|55.7503809,37.5826017";"{type=MultiLineString, coordinates=[[[37.58244899960319, 55.75039509977633], [37.58260169972676, 55.75038089979689]]], center=[[37.582525349665, 55.7503879997866]]}";
"3202126";"Парковка №3202 (26)";"281949936";"3202";"Центральный административный округ";"район Арбат";"Проточный Переулок, Дом 9, Строение 1";"круглосуточно";"60.0";"2";"37.5800587351189";"55.7504048041404";"55.7504084,37.579987|55.7504015,37.580124";"{type=MultiLineString, coordinates=[[[37.57998700037872, 55.75040839983425], [37.58012399974776, 55.75040149980097]]], center=[[37.5800555000632, 55.7504049498176]]}";
"3202127";"Парковка №3202 (27)";"281949937";"3202";"Центральный административный округ";"район Арбат";"Проточный Переулок, Дом 3-5, Строение 1";"круглосуточно";"60.0";"4";"37.5814752781946";"55.7503571435374";"55.7503607,37.581278|55.7503537,37.581666";"{type=MultiLineString, coordinates=[[[37.581277999816265, 55.75036070019466], [37.58166600015377, 55.750353700049715]]], center=[[37.581471999985, 55.7503572001222]]}";
"3202131";"Парковка №3202 (31)";"281949938";"3202";"Центральный административный округ";"район Арбат";"Смоленская Набережная, Дом 2";"круглосуточно";"60.0";"8";"37.5764852529158";"55.7462472278705";"55.746018,37.5764676|55.7464763,37.5765029";"{type=MultiLineString, coordinates=[[[37.57646759962322, 55.74601799993285], [37.57650289982063, 55.746476299862174]]], center=[[37.5764852497219, 55.7462471498975]]}";
"3202132";"Парковка №3202 (32)";"281949939";"3202";"Центральный административный округ";"район Арбат";"Смоленская Набережная, Дом 2";"круглосуточно";"60.0";"2";"37.5765545200343";"55.7469086232254";"55.7468455,37.5765475|55.7469715,37.5765615";"{type=MultiLineString, coordinates=[[[37.576547500276156, 55.74684550021764], [37.576561499621555, 55.746971499807785]]], center=[[37.5765544999489, 55.7469085000127]]}";
"3202133";"Парковка №3202 (33)";"281949940";"3202";"Центральный административный округ";"район Арбат";"Улица Новый Арбат, Дом 31/12";"круглосуточно";"60.0";"6";"37.575374293078";"55.7518309375347";"55.751964,37.5752872|55.751698,37.5754622";"{type=MultiLineString, coordinates=[[[37.57528719986515, 55.7519640000929], [37.57546219976734, 55.751698000085646]]], center=[[37.5753746998162, 55.7518310000893]]}";
